#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,2:39:53 PM		#Spectrum@IST : Series = 2, Group = 1Description = Created on 1/30/2019,2:39:53 PM		#Spectrum@IST : Series = 2, Group = 1Description = Created on 1/30/2019,2:40:38 PM	
#Angle of Incidence : 10.00		Angle of Incidence : 10.00		Angle of Incidence : 10.
#x	Tavs [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	0.00E+00	649	1.94E-02	649	0.00E+00
649.0069011	0.00E+00	649.0069011	2.00E-02	649.0069011	0.00E+00
649.0138022	0.00E+00	649.0138022	2.06E-02	649.0138022	0.00E+00
649.0207033	0.00E+00	649.0207033	2.11E-02	649.0207033	0
649.0276043	0.00E+00	649.0276043	2.14E-02	649.0276043	0
649.0345054	0.00E+00	649.0345054	2.17E-02	649.0345054	0
649.0414065	0.00E+00	649.0414065	2.18E-02	649.0414065	0
649.0483076	0.00E+00	649.0483076	2.18E-02	649.0483076	0
649.0552087	0.00E+00	649.0552087	2.16E-02	649.0552087	0
649.0621098	0.00E+00	649.0621098	2.13E-02	649.0621098	0
649.0690108	0.00E+00	649.0690108	2.08E-02	649.0690108	0
649.0759119	0.00E+00	649.0759119	2.03E-02	649.0759119	0
649.082813	0.00E+00	649.082813	1.97E-02	649.082813	0
649.0897141	0.00E+00	649.0897141	1.90E-02	649.0897141	0
649.0966152	0.00E+00	649.0966152	1.84E-02	649.0966152	0
649.1035163	0.00E+00	649.1035163	1.79E-02	649.1035163	0
649.1104174	0.00E+00	649.1104174	1.74E-02	649.1104174	0
649.1173184	0.00E+00	649.1173184	1.70E-02	649.1173184	0
649.1242195	0.00E+00	649.1242195	1.67E-02	649.1242195	0
649.1311206	0.00E+00	649.1311206	1.65E-02	649.1311206	0
649.1380217	0.00E+00	649.1380217	1.63E-02	649.1380217	0
649.1449228	0.00E+00	649.1449228	1.62E-02	649.1449228	0
649.1518239	0.00E+00	649.1518239	1.62E-02	649.1518239	0
649.1587249	0.00E+00	649.1587249	1.63E-02	649.1587249	0
649.165626	0.00E+00	649.165626	1.64E-02	649.165626	0
649.1725271	0.00E+00	649.1725271	1.65E-02	649.1725271	0
649.1794282	0.00E+00	649.1794282	1.68E-02	649.1794282	0
649.1863293	0.00E+00	649.1863293	1.71E-02	649.1863293	0
649.1932304	0.00E+00	649.1932304	1.75E-02	649.1932304	0
649.2001314	0.00E+00	649.2001314	1.80E-02	649.2001314	0
649.2070325	0.00E+00	649.2070325	1.86E-02	649.2070325	0
649.2139336	0.00E+00	649.2139336	1.92E-02	649.2139336	0
649.2208347	0.00E+00	649.2208347	1.98E-02	649.2208347	0
649.2277358	0.00E+00	649.2277358	2.04E-02	649.2277358	0
649.2346369	0.00E+00	649.2346369	2.09E-02	649.2346369	0
649.241538	0.00E+00	649.241538	2.14E-02	649.241538	0
649.248439	0.00E+00	649.248439	2.17E-02	649.248439	0
649.2553401	0.00E+00	649.2553401	2.19E-02	649.2553401	0
649.2622412	0.00E+00	649.2622412	2.20E-02	649.2622412	0
649.2691423	0.00E+00	649.2691423	2.19E-02	649.2691423	0
649.2760434	0.00E+00	649.2760434	2.17E-02	649.2760434	0
649.2829445	0.00E+00	649.2829445	2.14E-02	649.2829445	0
649.2898455	0.00E+00	649.2898455	2.09E-02	649.2898455	0
649.2967466	0.00E+00	649.2967466	2.04E-02	649.2967466	0
649.3036477	0.00E+00	649.3036477	1.98E-02	649.3036477	0
649.3105488	0.00E+00	649.3105488	1.91E-02	649.3105488	0
649.3174499	0.00E+00	649.3174499	1.85E-02	649.3174499	0
649.324351	0.00E+00	649.324351	1.79E-02	649.324351	0
649.3312521	0.00E+00	649.3312521	1.75E-02	649.3312521	0
649.3381531	0.00E+00	649.3381531	1.71E-02	649.3381531	0
649.3450542	0.00E+00	649.3450542	1.68E-02	649.3450542	0
649.3519553	0.00E+00	649.3519553	1.66E-02	649.3519553	0
649.3588564	0.00E+00	649.3588564	1.64E-02	649.3588564	0
649.3657575	0.00E+00	649.3657575	1.63E-02	649.3657575	0
649.3726586	0.00E+00	649.3726586	1.63E-02	649.3726586	0
649.3795596	0.00E+00	649.3795596	1.64E-02	649.3795596	0
649.3864607	0.00E+00	649.3864607	1.65E-02	649.3864607	0
649.3933618	0.00E+00	649.3933618	1.68E-02	649.3933618	0
649.4002629	0.00E+00	649.4002629	1.71E-02	649.4002629	0
649.407164	0.00E+00	649.407164	1.74E-02	649.407164	0
649.4140651	0.00E+00	649.4140651	1.79E-02	649.4140651	0
649.4209662	0.00E+00	649.4209662	1.84E-02	649.4209662	0
649.4278672	0.00E+00	649.4278672	1.90E-02	649.4278672	0
649.4347683	0.00E+00	649.4347683	1.97E-02	649.4347683	0
649.4416694	0.00E+00	649.4416694	2.02E-02	649.4416694	0
649.4485705	0.00E+00	649.4485705	2.08E-02	649.4485705	0
649.4554716	0.00E+00	649.4554716	2.13E-02	649.4554716	0
649.4623727	0.00E+00	649.4623727	2.16E-02	649.4623727	0
649.4692737	0.00E+00	649.4692737	2.19E-02	649.4692737	0
649.4761748	0.00E+00	649.4761748	2.21E-02	649.4761748	0
649.4830759	0.00E+00	649.4830759	2.21E-02	649.4830759	0
649.489977	0.00E+00	649.489977	2.20E-02	649.489977	0
649.4968781	0.00E+00	649.4968781	2.18E-02	649.4968781	0
649.5037792	0.00E+00	649.5037792	2.14E-02	649.5037792	0
649.5106802	0.00E+00	649.5106802	2.09E-02	649.5106802	0
649.5175813	0.00E+00	649.5175813	2.03E-02	649.5175813	0
649.5244824	0.00E+00	649.5244824	1.96E-02	649.5244824	0
649.5313835	0.00E+00	649.5313835	1.90E-02	649.5313835	0
649.5382846	0.00E+00	649.5382846	1.84E-02	649.5382846	0
649.5451857	0.00E+00	649.5451857	1.79E-02	649.5451857	0
649.5520868	0.00E+00	649.5520868	1.74E-02	649.5520868	0
649.5589878	0.00E+00	649.5589878	1.71E-02	649.5589878	0
