#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,2:38:09 PM		Spectrum@IST : #Series = 2, Group = 1Description = Created on 1/30/2019,2:38:09 PM		Spectrum@IST : Series = 2, Group = #1Description = Created on 1/30/2019,2:38:45 PM	
#Angle of Incidence : 10.00		Angle of Incidence : 10.00		Angle of Incidence : 10.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649.5589878	3.00E-11	649.5589878	3.40E-02	649.5589878	4E-11
649.5658889	3.00E-11	649.5658889	3.39E-02	649.5658889	4E-11
649.57279	3.00E-11	649.57279	3.37E-02	649.57279	4E-11
649.5796911	4.00E-11	649.5796911	3.36E-02	649.5796911	4E-11
649.5865922	4.00E-11	649.5865922	3.35E-02	649.5865922	4E-11
649.5934933	4.00E-11	649.5934933	3.35E-02	649.5934933	4E-11
649.6003943	4.00E-11	649.6003943	3.35E-02	649.6003943	4E-11
649.6072954	4.00E-11	649.6072954	3.35E-02	649.6072954	4E-11
649.6141965	4.00E-11	649.6141965	3.36E-02	649.6141965	4E-11
649.6210976	4.00E-11	649.6210976	3.37E-02	649.6210976	4E-11
649.6279987	4.00E-11	649.6279987	3.39E-02	649.6279987	4E-11
649.6348998	4.00E-11	649.6348998	3.41E-02	649.6348998	4E-11
649.6418009	4.00E-11	649.6418009	3.43E-02	649.6418009	4E-11
649.6487019	4.00E-11	649.6487019	3.46E-02	649.6487019	4E-11
649.655603	4.00E-11	649.655603	3.49E-02	649.655603	4E-11
649.6625041	4.00E-11	649.6625041	3.53E-02	649.6625041	4E-11
649.6694052	4.00E-11	649.6694052	3.57E-02	649.6694052	4E-11
649.6763063	4.00E-11	649.6763063	3.61E-02	649.6763063	4E-11
649.6832074	4.00E-11	649.6832074	3.65E-02	649.6832074	4E-11
649.6901084	4.00E-11	649.6901084	3.70E-02	649.6901084	5E-11
649.6970095	4.00E-11	649.6970095	3.74E-02	649.6970095	5E-11
649.7039106	4.00E-11	649.7039106	3.78E-02	649.7039106	5E-11
649.7108117	4.00E-11	649.7108117	3.82E-02	649.7108117	5E-11
649.7177128	4.00E-11	649.7177128	3.86E-02	649.7177128	5E-11
649.7246139	4.00E-11	649.7246139	3.90E-02	649.7246139	5E-11
649.731515	4.00E-11	649.731515	3.94E-02	649.731515	5E-11
649.738416	4.00E-11	649.738416	3.97E-02	649.738416	5E-11
649.7453171	4.00E-11	649.7453171	4.00E-02	649.7453171	5E-11
649.7522182	4.00E-11	649.7522182	4.02E-02	649.7522182	5E-11
649.7591193	4.00E-11	649.7591193	4.05E-02	649.7591193	5E-11
649.7660204	4.00E-11	649.7660204	4.07E-02	649.7660204	5E-11
649.7729215	4.00E-11	649.7729215	4.09E-02	649.7729215	5E-11
649.7798225	4.00E-11	649.7798225	4.11E-02	649.7798225	5E-11
649.7867236	4.00E-11	649.7867236	4.13E-02	649.7867236	5E-11
649.7936247	4.00E-11	649.7936247	4.14E-02	649.7936247	5E-11
649.8005258	4.00E-11	649.8005258	4.16E-02	649.8005258	5E-11
649.8074269	4.00E-11	649.8074269	4.17E-02	649.8074269	5E-11
649.814328	4.00E-11	649.814328	4.17E-02	649.814328	5E-11
649.8212291	4.00E-11	649.8212291	4.18E-02	649.8212291	5E-11
649.8281301	5.00E-11	649.8281301	4.18E-02	649.8281301	5E-11
