#wavelength [nm]	Collimated Beam	wavelength [nm]	22 degree Cone Angle (+/-11 degree Cone Half Angle)		3 degree Cone Angle (+/-1.5 degree Cone Half Angle)
#Spectrum@IST : Series = 1, Group = 1Description = Created on 1/30/2019,1:47:27 PM		Spectrum@IST : #Series = 2, Group = 1Description = Created on 1/30/2019,1:47:27 PM		Spectrum@IST : Series = 2, Group #= 1Description = Created on 1/30/2019,1:48:11 PM	
#Angle of Incidence : 0.00		Angle of Incidence : 0.00		Angle of Incidence : 0.00	
#x	Tavg [s] 	x	TGaussAvg [p] 	x	TGaussAvg [p] 
649	0.00E+00	649	0.00E+00	649	0.00E+00
649.0069011	0.00E+00	649.0069011	0.00E+00	649.0069011	0.00E+00
649.0138022	0.00E+00	649.0138022	0.00E+00	649.0138022	0.00E+00
649.0207033	0.00E+00	649.0207033	0.00E+00	649.0207033	0
649.0276043	0.00E+00	649.0276043	0.00E+00	649.0276043	0
649.0345054	0.00E+00	649.0345054	0.00E+00	649.0345054	0
649.0414065	0.00E+00	649.0414065	0.00E+00	649.0414065	0
649.0483076	0.00E+00	649.0483076	0.00E+00	649.0483076	0
649.0552087	0.00E+00	649.0552087	0.00E+00	649.0552087	0
649.0621098	0.00E+00	649.0621098	0.00E+00	649.0621098	0
649.0690108	0.00E+00	649.0690108	0.00E+00	649.0690108	0
649.0759119	0.00E+00	649.0759119	0.00E+00	649.0759119	0
649.082813	0.00E+00	649.082813	0.00E+00	649.082813	0
649.0897141	0.00E+00	649.0897141	0.00E+00	649.0897141	0
649.0966152	0.00E+00	649.0966152	0.00E+00	649.0966152	0
649.1035163	0.00E+00	649.1035163	0.00E+00	649.1035163	0
649.1104174	0.00E+00	649.1104174	0.00E+00	649.1104174	0
649.1173184	0.00E+00	649.1173184	0.00E+00	649.1173184	0
649.1242195	0.00E+00	649.1242195	0.00E+00	649.1242195	0
649.1311206	0.00E+00	649.1311206	0.00E+00	649.1311206	0
649.1380217	0.00E+00	649.1380217	0.00E+00	649.1380217	0
649.1449228	0.00E+00	649.1449228	0.00E+00	649.1449228	0
649.1518239	0.00E+00	649.1518239	0.00E+00	649.1518239	0
649.1587249	0.00E+00	649.1587249	0.00E+00	649.1587249	0
649.165626	0.00E+00	649.165626	0.00E+00	649.165626	0
649.1725271	0.00E+00	649.1725271	0.00E+00	649.1725271	0
649.1794282	0.00E+00	649.1794282	0.00E+00	649.1794282	0
649.1863293	0.00E+00	649.1863293	0.00E+00	649.1863293	0
649.1932304	0.00E+00	649.1932304	0.00E+00	649.1932304	0
649.2001314	0.00E+00	649.2001314	0.00E+00	649.2001314	0
649.2070325	0.00E+00	649.2070325	0.00E+00	649.2070325	0
649.2139336	0.00E+00	649.2139336	0.00E+00	649.2139336	0
649.2208347	0.00E+00	649.2208347	0.00E+00	649.2208347	0
649.2277358	0.00E+00	649.2277358	0.00E+00	649.2277358	0
649.2346369	0.00E+00	649.2346369	0.00E+00	649.2346369	0
649.241538	0.00E+00	649.241538	0.00E+00	649.241538	0
649.248439	0.00E+00	649.248439	0.00E+00	649.248439	0
649.2553401	0.00E+00	649.2553401	0.00E+00	649.2553401	0
649.2622412	0.00E+00	649.2622412	0.00E+00	649.2622412	0
649.2691423	0.00E+00	649.2691423	0.00E+00	649.2691423	0
649.2760434	0.00E+00	649.2760434	0.00E+00	649.2760434	0
649.2829445	0.00E+00	649.2829445	0.00E+00	649.2829445	0
649.2898455	0.00E+00	649.2898455	0.00E+00	649.2898455	0
649.2967466	0.00E+00	649.2967466	0.00E+00	649.2967466	0
649.3036477	0.00E+00	649.3036477	0.00E+00	649.3036477	0
649.3105488	0.00E+00	649.3105488	0.00E+00	649.3105488	0
649.3174499	0.00E+00	649.3174499	0.00E+00	649.3174499	0
649.324351	0.00E+00	649.324351	0.00E+00	649.324351	0
649.3312521	0.00E+00	649.3312521	0.00E+00	649.3312521	0
649.3381531	0.00E+00	649.3381531	0.00E+00	649.3381531	0
649.3450542	0.00E+00	649.3450542	0.00E+00	649.3450542	0
649.3519553	0.00E+00	649.3519553	0.00E+00	649.3519553	0
649.3588564	0.00E+00	649.3588564	0.00E+00	649.3588564	0
649.3657575	0.00E+00	649.3657575	0.00E+00	649.3657575	0
649.3726586	0.00E+00	649.3726586	0.00E+00	649.3726586	0
649.3795596	0.00E+00	649.3795596	0.00E+00	649.3795596	0
649.3864607	0.00E+00	649.3864607	0.00E+00	649.3864607	0
649.3933618	0.00E+00	649.3933618	0.00E+00	649.3933618	0
649.4002629	0.00E+00	649.4002629	0.00E+00	649.4002629	0
649.407164	0.00E+00	649.407164	0.00E+00	649.407164	0
649.4140651	0.00E+00	649.4140651	0.00E+00	649.4140651	0
649.4209662	0.00E+00	649.4209662	0.00E+00	649.4209662	0
649.4278672	0.00E+00	649.4278672	0.00E+00	649.4278672	0
649.4347683	0.00E+00	649.4347683	0.00E+00	649.4347683	0
649.4416694	0.00E+00	649.4416694	0.00E+00	649.4416694	0
649.4485705	0.00E+00	649.4485705	0.00E+00	649.4485705	0
649.4554716	0.00E+00	649.4554716	0.00E+00	649.4554716	0
