#wavelength [nm],"Tavg, 0.0 deg AOI"
489.89,3.31E-13
489.9,3.32E-13
489.91,3.33E-13
489.92,3.34E-13
489.93,3.34E-13
489.94,3.35E-13
489.95,3.36E-13
489.96,3.37E-13
489.97,3.38E-13
489.98,3.39E-13
489.99,3.39E-13
490,3.40E-13
490.01,3.41E-13
490.02,3.42E-13
490.03,3.43E-13
490.04,3.44E-13
490.05,3.44E-13
490.06,3.45E-13
490.07,3.46E-13
490.08,3.47E-13
490.09,3.48E-13
490.1,3.49E-13
490.11,3.49E-13
490.12,3.50E-13
490.13,3.51E-13
490.14,3.52E-13
490.15,3.53E-13
490.16,3.54E-13
490.17,3.55E-13
490.18,3.56E-13
490.19,3.56E-13
490.2,3.57E-13
490.21,3.58E-13
490.22,3.59E-13
490.23,3.60E-13
490.24,3.61E-13
490.25,3.62E-13
490.26,3.63E-13
490.27,3.64E-13
490.28,3.65E-13
490.29,3.66E-13
490.3,3.66E-13
490.31,3.67E-13
490.32,3.68E-13
490.33,3.69E-13
490.34,3.70E-13
490.35,3.71E-13
490.36,3.72E-13
490.37,3.73E-13
490.38,3.74E-13
490.39,3.75E-13
490.4,3.76E-13
490.41,3.77E-13
490.42,3.78E-13
490.43,3.79E-13
490.44,3.80E-13
490.45,3.81E-13
490.46,3.82E-13
490.47,3.83E-13
490.48,3.84E-13
490.49,3.85E-13
490.5,3.86E-13
490.51,3.87E-13
490.52,3.88E-13
490.53,3.89E-13
490.54,3.90E-13
490.55,3.91E-13
490.56,3.92E-13
490.57,3.93E-13
490.58,3.94E-13
490.59,3.95E-13
490.6,3.96E-13
490.61,3.97E-13
490.62,3.98E-13
490.63,3.99E-13
490.64,4.00E-13
490.65,4.01E-13
490.66,4.02E-13
490.67,4.03E-13
490.68,4.04E-13
490.69,4.06E-13
490.7,4.07E-13
490.71,4.08E-13
490.72,4.09E-13
490.73,4.10E-13
490.74,4.11E-13
490.75,4.12E-13
490.76,4.13E-13
490.77,4.14E-13
490.78,4.15E-13
490.79,4.17E-13
490.8,4.18E-13
490.81,4.19E-13
490.82,4.20E-13
490.83,4.21E-13
490.84,4.22E-13
490.85,4.23E-13
490.86,4.25E-13
490.87,4.26E-13
490.88,4.27E-13
490.89,4.28E-13
490.9,4.29E-13
490.91,4.30E-13
490.92,4.32E-13
490.93,4.33E-13
490.94,4.34E-13
490.95,4.35E-13
490.96,4.37E-13
490.97,4.38E-13
490.98,4.39E-13
490.99,4.40E-13
491,4.41E-13
491.01,4.43E-13
491.02,4.44E-13
